document_id,clean_text,sentiment
174,No review text,Neutral
175,1st of all congratulations for prabhas 🔥 for his come back 😈 his screen presence stunts 💥 are goosebumps prithviraj has given his best 🔥 prasanth Neel you are creating universe 💥🔥 from each of your films you know audience pulse and way of your execution in screenplay is good build up is more to the core that is minus and 1st half interval is pure masss 💥2nd half khansaar details are good but getting confused many characters and not connecting in some scenes and climax interesting for part 2 lead 💥 anbarivu is captain of the ship for salaar action scenes are top notch visuals are grandeur to see all the best for part 2 🔥,Positive
176,"Synopsis: The film invests significant time in world-building but falls short of captivating the audience within its narrative.First half: The initial segment is rather mediocre. While the Interval block attempts to instill excitement, the audience struggles to connect with the story from the outset. The buildup feels somewhat excessive.Second half: Exhaustive. A substantial twist at the end sets the stage for part 2, but its impact is diminished by a desire for the film to conclude. The prolonged buildup doesn't adequately match the actual scenes, resulting in a sense of loud anticipation that one wishes to end. Trimming 30 minutes from the 3-hour runtime would have made it a more engaging watch.Background music is subpar, excessively loud, creating an unwanted auditory experience. The songs merely exist without evoking much interest.Final verdict: ""Salaar"" is a film worth exploring when time permits. It has its moments of attraction, but overall, it delivers a rather lackluster cinematic journey.",Neutral
177,"Salaar has been my most-awaited film for 2023. It ticks most of the boxes for the mass movie fan in me: A mass movie focused on a single character dominance, Neel directorial which is usually a no-nonsense action movie with cracking goosebump scenes and a much awaited comeback for Prabhas who is tailor made for characters like this amongst other things. Salaar somehow touches most of these boxes but does not check it wholeheartedly.I will approach this review differently by describing how different aspects of the movie works but falls short somehow:The Plot/Story:
This is definitely the most complex storyline of a Prashant Neel movie. While the plot gets really interesting towards the end, you tend to realize that a lot of time was wasted in the first half for no good reason. Eventually the movie leaves a lot to be explored in Part 2 but I feel there could be too much left to show in Part 2 and I'm afraid there is going to be a tough job for editors. It is also quite a risky move to have not even planned to shoot Part-2 yet (which Neel has admitted in interviews) with so much left to be told.The Action:
Finally Prabhas gets his groove back with the action sequences which perfectly suit his body language. There are some great creative choices on some of the action scenes which are definitely bound to get cheers in the cinema halls although they aren't entirely logical. There are creative killings which justify the A rating but they were definitely not necessary for the plot, not that I'm complaining. But I would have definitely loved to see some more physical effort from the lead characters for some of the action scenes. At times it is just too cool and too easy.Screenplay:
Prashant Neel's strength has been screenplay over the storyline in his past movies but in Salaar it is the other way around. The movie does follow the traditional way of telling flashback stories like most mass movies but as the movie gets close to the end, there is no payback to the flashback narration. The movie ends like an interval scene which we have seen in most of the mass movies. This ending makes the first half screenplay seem pretty odd.Dialogues:
Neel's previous works have always boasted of minimal but impactful dialogues. While Uggram had some of the best written Kannada lines, KGF had very quirky and mass one liners especially with a good mix of Hindi. There aren't any trademark dialogues in Salaar which will etch in one's memory but Prabhas and Prithwiraj's does have some fun one liner exchanges. Those also serve as the little humour element in this movie. Dialogues are well written but it is not something you'd remember it for years to come.Music and Background Score:
Most of us were already slightly disappointed with the background score of Ravi Basrur in KGF 2 as compared to KGF 1. Unfortunately the background score doesn't really match up to Prabhas' screen presence and build up for most parts in the first half, especially for his introduction sequence. The music and background score does get better in the second half and there's a 'main theme music' which could have been made better use of in the first half as well. Overall, the background score falls short of creating some major goosebump moments leading up to the fight.Cinematography, Editing and Visuals:
Bhuvan Gowda continues his stellar form with some great shots and he manages to showcase Prabhas at his best. Aerial shots and shots of the city landscape totally reminds you of KGF 2 in many parts but not in a bad way. The visual effects team have done a great job in showcasing completely imaginary cities, towns and walls. The choice of using Neel's favourite dark-tone does seem excessive at times. Dare I say that they also have done a good job in digitally modifying Prabhas' looks in some scenes, and yes it is evident. While the action sequences are edited well, the same cannot be said about the shifts that we experience in some of the dramatic sequences. While the set design of Khansaar kingdom does remind you of many hollywood movies, the hair and make-up department has done an exceptional job in making each character stand out.Performances:
Neel manages to explore Prabhas' strengths perfectly by writing a role which involves him being the quiet and dangerous hero. Prabhas' performance does remind one of his Chatrapathi and other mass movie days without the unnecessary comedy and duet numbers. This is definitely the much needed comeback for Prabhas. Prithwiraj does excel as Varada Raja Mannar but at least for Part 1 there isn't any USP element for his role which makes him stand out or explore his strengths. Apart from these two, there is a plethora of supporting characters of which most of them have done nothing but justice to their role. Sriya Reddy, Bobby Simha, Garuda Ram, Madhu Guruswamy, Pramod Panju and Tinu Anand are some of the highlight performers. Of course special mention to Naveen Shankar who even with a very little screen presence makes a major impact and I am quite excited to see him in part-2. Just like the other Neel movies, we do have some creative choices for character and family names.Uggram Connection (Extra):
A lot has been discussed about this movie being a remake of Uggram, but let me assure you it's not. However Neel has straight up taken some scenes and moments from Uggram and recreated them here. He does have the creative freedom to do that considering its his own work but I personally feel that he should have admitted that to the Kannada audience. I could here some gasps of disappointment in the theatres for some of the exact scenes.Overall, Salaar makes for an almost satisfying theatrical experience but it leaves a lot of things open-ended. While it does deliver on the promise of a violent action film, it somehow fails to connect much at an emotional level. Neel continues to show how good he is at doing what he does but I feel that he does not really justify the time he has invested to bring this dinosaur finally out of its hideout.",Positive
178,"This time Prashanth's magic didn't worked out. As KGF holds up to Prashanths narration style plus Yash acting levels, Salaar has lot of dependency only on Prabhas(REBEL STAR). Story wasn't quiet interesting but elevations about second part in the movie gets the attention. Children singing song+seeking help from God+then Hero fight scenes are completely outdated. If this kind of screenplay continues its no more mass instead it makes us bore and looks like a comic. Please don't do this Mr. Neel garu.Just Prabhas makes the run time looks OK.Prabhas entry to KHANSAR: 🔥bgm remind me something like i am watching a MARVEL hero.For me personally the mother character role Eshwari garu performed little over-acting.Though the movie stood like a feast for mass fanzzz still it doesn't has much potential as expected. When i first watched kgf-1 i didn't liked it because of over hype back voice twlling about Yash but it was ok since it's all about introduction to Hero character likewise i hv satisfaction level about S🔥L🔥🔥R part 1.",Neutral
179,No review text,Neutral
180,"Full of action and storylines.If you like action movie then you definitely gonna love this movie.Thrill and goosebumps in every action entry of prabhas. The violent prabhas is back on track.Action scenes are too good. Every character has done great job. Shruti Hassan's work is good but not too good.Next level of friendship has been shown. Prithviraj is too good, all the negative character roles has been done quite differently. It is not related to kgf but it gives kgf vibes also. I hope its part two will have much more than thisIt contains violence violence.If you want to see a drama, action, and if you want suspense, thriller then you must see this movie.",Positive
181,"There is no reason or point to watch the first half. Movie can directly start from the 2nd half.The pace of the film rises too fast in the 2nd half. This literally creates confusion in plot.The direction and BGM is far better in KGF.Being a pan-India and a broad film, the director must spend some time on VFX works. The VFX is too poor in some sequences, which will not make a quality film. Actors did a great work, the presence of PRABHAS filled the theatres.A commercial film.I am really waiting for the drama in khansar. The entire drama will be similar to GoT.The overall verdict - Watch it to watch SALAAR 2.",Positive
182,No review text,Neutral
183,"Neon-drenched action and pulsating music ignite Prashanth Neel's Salaar, but beneath the dazzling surface lies a narrative wasteland. While fleeting moments of potential flicker in supporting performances, the film ultimately stumbles under the weight of its own bombast, failing to connect with audiences on an emotional level.Neel's penchant for spectacle over substance permeates the film. Thundering soundtracks and flamboyant set pieces mask a predictable plot built on overused tropes like ""friends turned enemies."" The narrative, echoing Neel's previous work, feels reheated and lacks the thematic depth and emotional resonance that captivated audiences in KGF.Prabhas, burdened by a stoic script, becomes a passive observer in his own film. His slow-motion walks and unemotional delivery fail to inject depth into the protagonist, leaving viewers struggling to connect with him or his motivations. The supporting cast, however, fares better. Prithviraj and Shriya Reddy deliver nuanced performances, hinting at the complexities their characters could have possessed had the script delved deeper.Action sequences, despite their visual flair, remain emotionally hollow. They roar with bombast but lack the raw power and thematic weight that fueled the fights in KGF. Neel throws spectacle at the screen, but it's like empty confetti - flashy and fleeting, leaving nothing behind but a sense of disappointment.Salaar's greatest sin lies not in its flaws, but in its missed potential. Glimpses of a compelling story, exploring complex relationships and emotional turmoil, flicker briefly before being extinguished by the film's relentless pursuit of spectacle. These fleeting moments serve as a painful reminder of what Salaar could have been, a film that resonated with audiences on a deeper level than mere visual thrills.Ultimately, Salaar is a disappointing detour for Neel.It descends from the raw power of KGF into a hollow spectacle, devoid of the emotional core and thematic depth that made his previous work so impactful. While sparks of potential glimmer in the supporting performances, they're not enough to salvage the overall underwhelming experience. Skip Salaar and revisit KGF for a more fulfilling encounter with Neel's directorial talent.",Positive
184,"The movie is a disappointing example of Telugu cinema's lack of originality. The first half of the movie has no clear story line and confuses the audience. It feels like random video clips are stitched together and the audience has to fill in the gaps. Some parts are so dragged out that the audience loses interest in the point. The second half of the movie is a poor imitation of Game of Thrones, with exaggerated characters and unnecessary violence. Shruthi Hasan's role is irrelevant and perplexing. The movie tries to copy the storyline where the Targaryen children are killed, but with Prabhas' tribe instead. Ultimately I was completely able to relate Prabas to John snow. The directors have wasted a huge budget on a movie that lacks creativity and coherence.",Negative
185,"Great Drama and acting. The first part has that punch that the audience is looking for, and 2nd half is full of drama and action with great storytelling in the background. Characters are clearly defined, and imagination to create the film needs to be greatly appreciated. Dev and vardha are incredible, especially their humor during the action sequence and they carry forward their friendship is the big highlight to the movie. Action sequence and background score is also an other highlight to the movie. A big thank you to the director for his vision and creativity. Eagerly looking forward for the next part of the movie.",Positive
186,"Same old story, bogus action scenes! Just a cheap copy of KGF. After Baahubali I have not seen any good movie from Prabhas. This was too a bore. Too many characters, took so much time for world building. If they were planning to make more movies under this franchise name, they should have focused less in world building and more on story telling. They could have progressed their world building with each new movie. This movie could not escape the shadow of KGF. People loved Yash in KGF and director tried to just copy paste those same things! And Throughout the movie, Prabhas was so expression less, I thought I was watching Arjun Kapoor!",Positive
187,"Action movies have become excessively exaggerated in Indian cinema lately. Prabhas, known for his roles post-Bahubali, seems to be stuck in a rut with repetitive movies where he remains stationary, only altering the planet's rotation. This particular film features a dozen entry scenes, with Prabhas engaging in fights without moving from a single spot, resulting in hundreds of people being chopped down. The movie appears to be heavily inspired by Game of Thrones but executed poorly, mirroring the constant shifts in the storyline.The main lead in the film resembles a mere model, standing stoically and striking poses every 5-10 minutes. The movie lacks substance, presenting a mindless and directionless action spectacle where everything seems to spiral out of control. Unfortunately, there's a sequel on the horizon, much to the dismay of the audience. It's advisable to steer clear of this film at all costs to save yourself from disappointment.",Negative
188,"Do not miss Salaar if you liked the KGF and the Salaar is next level of the KGF in terms of the action and thriller.BGM and the music was cherry on top throughout the action sequence and what a roar of the audience in the cinema when Prabhas used to enter the fighting scene.One of the best action movie of Prabhas till date what I felt, it overdelivered than the trailer and nowhere left the movie in a dilemma.Definitely can be given a try if you like the thriller or action genre.Trailer was much better compared to the movie, and even the first half was pretty much entertaining, but the 2nd half for not bearable and it was boring to the another level.Had quite expectation after the trailer as it seemed pretty entertainment kind of a of movie, however the reality was the wastage of the time and money.Better to watch Salaar instead as Salaar is full action packed movie and KGF kind of thriller and action being witnessed in Salaar.You may save your time and money by skipping Dunki and instead watch Salaar if you like action or thriller or suspense.Do not miss this combo of thriller + suspense + action delivered beautifully in a single pack.",Positive
189,"Salaar Is the best movie of prabhas after bahubali. This time Prabhas Come Back to his den.. No one can Match with his Stardom .. Dinosaur Rampage Starts Now . Prashant Neel Shows his best direction after kgf series.. Mass & Action .Goosebumps in each scene Overloaded. Prabhas looking good .When it comes to Screen Presence no one can come close to him..Biggest Superstar Of India in recent times . Prabhas himself carried the whole movie on his shoulder. . That fight scene for rescue the girl is awesome.. you can feel the emotion in his eyes , when he fights. Prvthiraj Gave his best .. All actors act well
My review
Out of 5 - 4stars.",Positive
190,No review text,Neutral
191,No review text,Neutral
192,Salaar is a blockbuster movie with a fantastic cast and with prabhas. Salaar managed to give greatest action sequences while giving the best story telling and this movie gave an introduction to the khansaar world and finally prabhas comeback has definately came with salaar with a blockbuster hit. We can say that after bahubali Prashant Neel is the one who utilised prabhas as he should be like S S Rajamouli showed him in chatrapati and bahubali prashanth Neel is the one again to him in salaar. People should not worry about negative reviews the movie is an absolute watch without hesitation and you will feel good you've made a right decision.,Positive
193,No review text,Neutral
194,No review text,Neutral
195,"Salaar part 1: Cease fire is a extraordinary mass action film with lot of emotions directed by Prashant neel. Prashant neel especially made film to fulfill his dream movie thought
With hombale films. North Indian movie lovers just started trolling on prabhas sir only because he is competing with sharukh khan.But they don't know why hombale films and movie team decides to clash with dunki. Whole India felt proud on prabhas work when a master piece picture released named Bahubali. North audience only know about prabhas as pan Indian star but he is darling and called Rebel star ⭐. He doesn't know his standorm but people from telugu states will be wall for him. Salaar part 1 is a perfect eye feast for prabhas fans and gives the best cinematic experience to movie lovers. Unlike filling a film with nonsense fights , illogical drama and mixing of several movies scripts , it will be a benchmark for upcoming A rated and action films. #PRABHASERA.",Positive
196,"""Salaar"" unfolds as a lavish, high-quality cinematic venture, sprawling across the length and breadth of India, drawing inspiration from the Kannada film ""Ugram"" under the adept direction of the same creator. Transporting viewers to a distinct realm, the film introduces intriguing backdrops and characters, although their development falls short.Channeling the style of KGF, the treatment boasts a rich aesthetic. While dialogues lack the expected finesse, the casting is impeccable. Prabhas exhibits a notable improvement in both appearance and performance compared to his recent endeavors. Prithviraj and Sriya Reddy's portrayal stands out, with the remaining cast fulfilling their directorial mandates.Cinematography and background music shine as brilliant facets, accompanied by commendable sound effects. However, the film falters in VFX execution, sound mixing, and an excessively dark color grading. The directorial prowess is evident, but the writing doesn't quite reach the pinnacle.For an optimal viewing experience, opt for theaters equipped with superior projectors and sound systems.",Positive
197,No review text,Neutral
198,"Salaar on words review is masterpiece. The has a very good emotions that belt us with seats💺. And action if you compare its action with other move, then you have to go Hollywood film because no Indian cinema have action like this. True action movie. And main actor prabhash done a fabulous work hare after Bhahubali. You gonna love his hard work and also PRITHVIRAJ ji he done also good work. Salaar is not just a film it's a emotion of all prabhash fans if you missed it on theater then you missing a lot. Booked your tickets now before it's too late🏃💨. And experience a Roalarcoster ride with this masterpiece.🔥🔥🔥🔥🔥🔥🔥🔥",Neutral
199,No review text,Neutral
200,1st of all congratulations for prabhas 🔥 for his come back 😈 his screen presence stunts 💥 are goosebumps prithviraj has given his best 🔥 prasanth Neel you are creating universe 💥🔥 from each of your films you know audience pulse and way of your execution in screenplay is good build up is more to the core that is minus and 1st half interval is pure masss 💥2nd half khansaar details are good but getting confused many characters and not connecting in some scenes and climax interesting for part 2 lead 💥 anbarivu is captain of the ship for salaar action scenes are top notch visuals are grandeur to see all the best for part 2 🔥,Positive
201,"Synopsis: The film invests significant time in world-building but falls short of captivating the audience within its narrative.First half: The initial segment is rather mediocre. While the Interval block attempts to instill excitement, the audience struggles to connect with the story from the outset. The buildup feels somewhat excessive.Second half: Exhaustive. A substantial twist at the end sets the stage for part 2, but its impact is diminished by a desire for the film to conclude. The prolonged buildup doesn't adequately match the actual scenes, resulting in a sense of loud anticipation that one wishes to end. Trimming 30 minutes from the 3-hour runtime would have made it a more engaging watch.Background music is subpar, excessively loud, creating an unwanted auditory experience. The songs merely exist without evoking much interest.Final verdict: ""Salaar"" is a film worth exploring when time permits. It has its moments of attraction, but overall, it delivers a rather lackluster cinematic journey.",Neutral
202,"Salaar has been my most-awaited film for 2023. It ticks most of the boxes for the mass movie fan in me: A mass movie focused on a single character dominance, Neel directorial which is usually a no-nonsense action movie with cracking goosebump scenes and a much awaited comeback for Prabhas who is tailor made for characters like this amongst other things. Salaar somehow touches most of these boxes but does not check it wholeheartedly.I will approach this review differently by describing how different aspects of the movie works but falls short somehow:The Plot/Story:
This is definitely the most complex storyline of a Prashant Neel movie. While the plot gets really interesting towards the end, you tend to realize that a lot of time was wasted in the first half for no good reason. Eventually the movie leaves a lot to be explored in Part 2 but I feel there could be too much left to show in Part 2 and I'm afraid there is going to be a tough job for editors. It is also quite a risky move to have not even planned to shoot Part-2 yet (which Neel has admitted in interviews) with so much left to be told.The Action:
Finally Prabhas gets his groove back with the action sequences which perfectly suit his body language. There are some great creative choices on some of the action scenes which are definitely bound to get cheers in the cinema halls although they aren't entirely logical. There are creative killings which justify the A rating but they were definitely not necessary for the plot, not that I'm complaining. But I would have definitely loved to see some more physical effort from the lead characters for some of the action scenes. At times it is just too cool and too easy.Screenplay:
Prashant Neel's strength has been screenplay over the storyline in his past movies but in Salaar it is the other way around. The movie does follow the traditional way of telling flashback stories like most mass movies but as the movie gets close to the end, there is no payback to the flashback narration. The movie ends like an interval scene which we have seen in most of the mass movies. This ending makes the first half screenplay seem pretty odd.Dialogues:
Neel's previous works have always boasted of minimal but impactful dialogues. While Uggram had some of the best written Kannada lines, KGF had very quirky and mass one liners especially with a good mix of Hindi. There aren't any trademark dialogues in Salaar which will etch in one's memory but Prabhas and Prithwiraj's does have some fun one liner exchanges. Those also serve as the little humour element in this movie. Dialogues are well written but it is not something you'd remember it for years to come.Music and Background Score:
Most of us were already slightly disappointed with the background score of Ravi Basrur in KGF 2 as compared to KGF 1. Unfortunately the background score doesn't really match up to Prabhas' screen presence and build up for most parts in the first half, especially for his introduction sequence. The music and background score does get better in the second half and there's a 'main theme music' which could have been made better use of in the first half as well. Overall, the background score falls short of creating some major goosebump moments leading up to the fight.Cinematography, Editing and Visuals:
Bhuvan Gowda continues his stellar form with some great shots and he manages to showcase Prabhas at his best. Aerial shots and shots of the city landscape totally reminds you of KGF 2 in many parts but not in a bad way. The visual effects team have done a great job in showcasing completely imaginary cities, towns and walls. The choice of using Neel's favourite dark-tone does seem excessive at times. Dare I say that they also have done a good job in digitally modifying Prabhas' looks in some scenes, and yes it is evident. While the action sequences are edited well, the same cannot be said about the shifts that we experience in some of the dramatic sequences. While the set design of Khansaar kingdom does remind you of many hollywood movies, the hair and make-up department has done an exceptional job in making each character stand out.Performances:
Neel manages to explore Prabhas' strengths perfectly by writing a role which involves him being the quiet and dangerous hero. Prabhas' performance does remind one of his Chatrapathi and other mass movie days without the unnecessary comedy and duet numbers. This is definitely the much needed comeback for Prabhas. Prithwiraj does excel as Varada Raja Mannar but at least for Part 1 there isn't any USP element for his role which makes him stand out or explore his strengths. Apart from these two, there is a plethora of supporting characters of which most of them have done nothing but justice to their role. Sriya Reddy, Bobby Simha, Garuda Ram, Madhu Guruswamy, Pramod Panju and Tinu Anand are some of the highlight performers. Of course special mention to Naveen Shankar who even with a very little screen presence makes a major impact and I am quite excited to see him in part-2. Just like the other Neel movies, we do have some creative choices for character and family names.Uggram Connection (Extra):
A lot has been discussed about this movie being a remake of Uggram, but let me assure you it's not. However Neel has straight up taken some scenes and moments from Uggram and recreated them here. He does have the creative freedom to do that considering its his own work but I personally feel that he should have admitted that to the Kannada audience. I could here some gasps of disappointment in the theatres for some of the exact scenes.Overall, Salaar makes for an almost satisfying theatrical experience but it leaves a lot of things open-ended. While it does deliver on the promise of a violent action film, it somehow fails to connect much at an emotional level. Neel continues to show how good he is at doing what he does but I feel that he does not really justify the time he has invested to bring this dinosaur finally out of its hideout.",Positive
203,"This time Prashanth's magic didn't worked out. As KGF holds up to Prashanths narration style plus Yash acting levels, Salaar has lot of dependency only on Prabhas(REBEL STAR). Story wasn't quiet interesting but elevations about second part in the movie gets the attention. Children singing song+seeking help from God+then Hero fight scenes are completely outdated. If this kind of screenplay continues its no more mass instead it makes us bore and looks like a comic. Please don't do this Mr. Neel garu.Just Prabhas makes the run time looks OK.Prabhas entry to KHANSAR: 🔥bgm remind me something like i am watching a MARVEL hero.For me personally the mother character role Eshwari garu performed little over-acting.Though the movie stood like a feast for mass fanzzz still it doesn't has much potential as expected. When i first watched kgf-1 i didn't liked it because of over hype back voice twlling about Yash but it was ok since it's all about introduction to Hero character likewise i hv satisfaction level about S🔥L🔥🔥R part 1.",Neutral
204,No review text,Neutral
205,"Full of action and storylines.If you like action movie then you definitely gonna love this movie.Thrill and goosebumps in every action entry of prabhas. The violent prabhas is back on track.Action scenes are too good. Every character has done great job. Shruti Hassan's work is good but not too good.Next level of friendship has been shown. Prithviraj is too good, all the negative character roles has been done quite differently. It is not related to kgf but it gives kgf vibes also. I hope its part two will have much more than thisIt contains violence violence.If you want to see a drama, action, and if you want suspense, thriller then you must see this movie.",Positive
206,"There is no reason or point to watch the first half. Movie can directly start from the 2nd half.The pace of the film rises too fast in the 2nd half. This literally creates confusion in plot.The direction and BGM is far better in KGF.Being a pan-India and a broad film, the director must spend some time on VFX works. The VFX is too poor in some sequences, which will not make a quality film. Actors did a great work, the presence of PRABHAS filled the theatres.A commercial film.I am really waiting for the drama in khansar. The entire drama will be similar to GoT.The overall verdict - Watch it to watch SALAAR 2.",Positive
207,No review text,Neutral
208,"Neon-drenched action and pulsating music ignite Prashanth Neel's Salaar, but beneath the dazzling surface lies a narrative wasteland. While fleeting moments of potential flicker in supporting performances, the film ultimately stumbles under the weight of its own bombast, failing to connect with audiences on an emotional level.Neel's penchant for spectacle over substance permeates the film. Thundering soundtracks and flamboyant set pieces mask a predictable plot built on overused tropes like ""friends turned enemies."" The narrative, echoing Neel's previous work, feels reheated and lacks the thematic depth and emotional resonance that captivated audiences in KGF.Prabhas, burdened by a stoic script, becomes a passive observer in his own film. His slow-motion walks and unemotional delivery fail to inject depth into the protagonist, leaving viewers struggling to connect with him or his motivations. The supporting cast, however, fares better. Prithviraj and Shriya Reddy deliver nuanced performances, hinting at the complexities their characters could have possessed had the script delved deeper.Action sequences, despite their visual flair, remain emotionally hollow. They roar with bombast but lack the raw power and thematic weight that fueled the fights in KGF. Neel throws spectacle at the screen, but it's like empty confetti - flashy and fleeting, leaving nothing behind but a sense of disappointment.Salaar's greatest sin lies not in its flaws, but in its missed potential. Glimpses of a compelling story, exploring complex relationships and emotional turmoil, flicker briefly before being extinguished by the film's relentless pursuit of spectacle. These fleeting moments serve as a painful reminder of what Salaar could have been, a film that resonated with audiences on a deeper level than mere visual thrills.Ultimately, Salaar is a disappointing detour for Neel.It descends from the raw power of KGF into a hollow spectacle, devoid of the emotional core and thematic depth that made his previous work so impactful. While sparks of potential glimmer in the supporting performances, they're not enough to salvage the overall underwhelming experience. Skip Salaar and revisit KGF for a more fulfilling encounter with Neel's directorial talent.",Positive
209,"The movie is a disappointing example of Telugu cinema's lack of originality. The first half of the movie has no clear story line and confuses the audience. It feels like random video clips are stitched together and the audience has to fill in the gaps. Some parts are so dragged out that the audience loses interest in the point. The second half of the movie is a poor imitation of Game of Thrones, with exaggerated characters and unnecessary violence. Shruthi Hasan's role is irrelevant and perplexing. The movie tries to copy the storyline where the Targaryen children are killed, but with Prabhas' tribe instead. Ultimately I was completely able to relate Prabas to John snow. The directors have wasted a huge budget on a movie that lacks creativity and coherence.",Negative
210,"Great Drama and acting. The first part has that punch that the audience is looking for, and 2nd half is full of drama and action with great storytelling in the background. Characters are clearly defined, and imagination to create the film needs to be greatly appreciated. Dev and vardha are incredible, especially their humor during the action sequence and they carry forward their friendship is the big highlight to the movie. Action sequence and background score is also an other highlight to the movie. A big thank you to the director for his vision and creativity. Eagerly looking forward for the next part of the movie.",Positive
211,"Same old story, bogus action scenes! Just a cheap copy of KGF. After Baahubali I have not seen any good movie from Prabhas. This was too a bore. Too many characters, took so much time for world building. If they were planning to make more movies under this franchise name, they should have focused less in world building and more on story telling. They could have progressed their world building with each new movie. This movie could not escape the shadow of KGF. People loved Yash in KGF and director tried to just copy paste those same things! And Throughout the movie, Prabhas was so expression less, I thought I was watching Arjun Kapoor!",Positive
212,"Action movies have become excessively exaggerated in Indian cinema lately. Prabhas, known for his roles post-Bahubali, seems to be stuck in a rut with repetitive movies where he remains stationary, only altering the planet's rotation. This particular film features a dozen entry scenes, with Prabhas engaging in fights without moving from a single spot, resulting in hundreds of people being chopped down. The movie appears to be heavily inspired by Game of Thrones but executed poorly, mirroring the constant shifts in the storyline.The main lead in the film resembles a mere model, standing stoically and striking poses every 5-10 minutes. The movie lacks substance, presenting a mindless and directionless action spectacle where everything seems to spiral out of control. Unfortunately, there's a sequel on the horizon, much to the dismay of the audience. It's advisable to steer clear of this film at all costs to save yourself from disappointment.",Negative
213,"Do not miss Salaar if you liked the KGF and the Salaar is next level of the KGF in terms of the action and thriller.BGM and the music was cherry on top throughout the action sequence and what a roar of the audience in the cinema when Prabhas used to enter the fighting scene.One of the best action movie of Prabhas till date what I felt, it overdelivered than the trailer and nowhere left the movie in a dilemma.Definitely can be given a try if you like the thriller or action genre.Trailer was much better compared to the movie, and even the first half was pretty much entertaining, but the 2nd half for not bearable and it was boring to the another level.Had quite expectation after the trailer as it seemed pretty entertainment kind of a of movie, however the reality was the wastage of the time and money.Better to watch Salaar instead as Salaar is full action packed movie and KGF kind of thriller and action being witnessed in Salaar.You may save your time and money by skipping Dunki and instead watch Salaar if you like action or thriller or suspense.Do not miss this combo of thriller + suspense + action delivered beautifully in a single pack.",Positive
214,"Salaar Is the best movie of prabhas after bahubali. This time Prabhas Come Back to his den.. No one can Match with his Stardom .. Dinosaur Rampage Starts Now . Prashant Neel Shows his best direction after kgf series.. Mass & Action .Goosebumps in each scene Overloaded. Prabhas looking good .When it comes to Screen Presence no one can come close to him..Biggest Superstar Of India in recent times . Prabhas himself carried the whole movie on his shoulder. . That fight scene for rescue the girl is awesome.. you can feel the emotion in his eyes , when he fights. Prvthiraj Gave his best .. All actors act well
My review
Out of 5 - 4stars.",Positive
215,No review text,Neutral
216,No review text,Neutral
217,Salaar is a blockbuster movie with a fantastic cast and with prabhas. Salaar managed to give greatest action sequences while giving the best story telling and this movie gave an introduction to the khansaar world and finally prabhas comeback has definately came with salaar with a blockbuster hit. We can say that after bahubali Prashant Neel is the one who utilised prabhas as he should be like S S Rajamouli showed him in chatrapati and bahubali prashanth Neel is the one again to him in salaar. People should not worry about negative reviews the movie is an absolute watch without hesitation and you will feel good you've made a right decision.,Positive
218,No review text,Neutral
219,No review text,Neutral
220,"Salaar part 1: Cease fire is a extraordinary mass action film with lot of emotions directed by Prashant neel. Prashant neel especially made film to fulfill his dream movie thought
With hombale films. North Indian movie lovers just started trolling on prabhas sir only because he is competing with sharukh khan.But they don't know why hombale films and movie team decides to clash with dunki. Whole India felt proud on prabhas work when a master piece picture released named Bahubali. North audience only know about prabhas as pan Indian star but he is darling and called Rebel star ⭐. He doesn't know his standorm but people from telugu states will be wall for him. Salaar part 1 is a perfect eye feast for prabhas fans and gives the best cinematic experience to movie lovers. Unlike filling a film with nonsense fights , illogical drama and mixing of several movies scripts , it will be a benchmark for upcoming A rated and action films. #PRABHASERA.",Positive
221,"""Salaar"" unfolds as a lavish, high-quality cinematic venture, sprawling across the length and breadth of India, drawing inspiration from the Kannada film ""Ugram"" under the adept direction of the same creator. Transporting viewers to a distinct realm, the film introduces intriguing backdrops and characters, although their development falls short.Channeling the style of KGF, the treatment boasts a rich aesthetic. While dialogues lack the expected finesse, the casting is impeccable. Prabhas exhibits a notable improvement in both appearance and performance compared to his recent endeavors. Prithviraj and Sriya Reddy's portrayal stands out, with the remaining cast fulfilling their directorial mandates.Cinematography and background music shine as brilliant facets, accompanied by commendable sound effects. However, the film falters in VFX execution, sound mixing, and an excessively dark color grading. The directorial prowess is evident, but the writing doesn't quite reach the pinnacle.For an optimal viewing experience, opt for theaters equipped with superior projectors and sound systems.",Positive
222,No review text,Neutral
223,"Salaar on words review is masterpiece. The has a very good emotions that belt us with seats💺. And action if you compare its action with other move, then you have to go Hollywood film because no Indian cinema have action like this. True action movie. And main actor prabhash done a fabulous work hare after Bhahubali. You gonna love his hard work and also PRITHVIRAJ ji he done also good work. Salaar is not just a film it's a emotion of all prabhash fans if you missed it on theater then you missing a lot. Booked your tickets now before it's too late🏃💨. And experience a Roalarcoster ride with this masterpiece.🔥🔥🔥🔥🔥🔥🔥🔥",Neutral
224,No review text,Neutral
225,1st of all congratulations for prabhas 🔥 for his come back 😈 his screen presence stunts 💥 are goosebumps prithviraj has given his best 🔥 prasanth Neel you are creating universe 💥🔥 from each of your films you know audience pulse and way of your execution in screenplay is good build up is more to the core that is minus and 1st half interval is pure masss 💥2nd half khansaar details are good but getting confused many characters and not connecting in some scenes and climax interesting for part 2 lead 💥 anbarivu is captain of the ship for salaar action scenes are top notch visuals are grandeur to see all the best for part 2 🔥,Positive
